zippers288: cohhMy
mojica4life: Yes!
godofthefools: 44444444444444
wsbxero: LOL
daanootje: rooBlush
slippage_: cohhMy
comatt6: Kreygasm
usu_: cohhMy
dobbsjustdobbs: cohhMy
vrtnipatuljak: 4 danGachi
avertater: LUL
ow_thisguy: cohhMy
obliwerator: LUL
stoiccicero: LUL
vortexmars: LMAOOOOO
mythallian: @ladiie_ivory give it a minute
thestebe: cohhTOS
osskssa: LUL
deadran: LUL
average_chat_user: LUL
ian947: cohhLUL
craften: cohhMy
inquisitor_ganamead: LUL
zirlas: rooKek
installation84: BAHAHAHA
trundleisatroii: LULW
littledarksun: cohhMy
nicotassara: cohhTOS
egergames: cohhMy
slippage_: LUL
cardim0: LUL
heavy_mouse: cohhMy
ninjaofv: octavia romance time
nymphiq: cohhMy
angstam: bad ending
flamerz89: cohhMy
itoldyouitstaken: NOOOOOOOOOOO
slippage_: OH MY
zippers288: Kreygasm
ian947: OCTAVIA
ramraye: cohhLUL
deadran: Wait WHAT
thestebe: oh my!!
drwyz: Pog Orgy
udabestaround: cohhMy
skewr13: Went right for it
baddawge: @nuuriell -- discord ples?
realfprintf: CohhMy
vortexmars: HOL UP
inix: PogUU
dobbsjustdobbs: Eiffel Tower!
un_synapse: OH HAYO
mojica4life: We in!
shallyia: WAT
yukikireishi: LUL
botamigo: cohhMy cohhMy cohhMy cohhMy
usu_: cohhMy x2
inix: Pog Pog
gieschput: ohmy
tragicomega: lol
foxknight: cohhEZ cohhKnife
craften: WHAT
werl0g: cohhMy cohhMy cohhMy cohhMy cohhMy cohhMy
nihilord: oh my
winterhame: cohhMy cohhMy cohhMy cohhMy
kizamaruthedk: cohhLUL
chrysa9: wow
madeyezaidi: rooKek hahahahahhaha
nicotassara: WAATTT
dirkinvg: now you have yo break up with her too cohh
daiku99: cohhMy cohhMy cohhMy
installation84: Octavia best girl!
hudamuchin: HOL UP
seditary: dude is turning down a threesome
ir0nf00t: This is a FAMILY show cohhD cohhD cohhD
ninjaofv: oh my
clairlouise: @RamRaye really enjoying it, i love these type of games, DOS has a lot to it and i feel very replayable so you get moneys worth
aslird: 1
m_aykel: cohhMy cohhMy cohhMy cohhMy
nuuriell: !discord @ BadDawGe
cohhilitionbot: BadDawGe Looking to join the Cohhilition on Discord? Join this channe
itoldyouitstaken: TWO
ramraye: cohhD
osskssa: so open
van_cross: 3some
dirkinvg: heartbreaker
myekos: 1
stretchz: 1!
retrosum: 1
zirlas: cohhLUL
psfanatic: cohhMy
thestebe: You got to
flamerz89: 1
deadran: 1
slippage_: LUL
startbreak12: cohhLUL cohhLUL cohhLUL cohhLUL cohhLUL cohhLUL cohhLUL cohhLUL cohhLUL cohhLUL
comatt6: 2 for the friendzone
mr_sidious: 1
skewr13: 1
obliwerator: 1
jacobgreyson: Mansloot cohh?
spartan212: 1
tavernadodraconato: 1
vzmrain: 1
dingussaurus_wreked: 1
cold_feedback: 1
the_friends_we_made: @angstam not necessarily. He's just gotta break it off immediately
fourpw: Cohh going red! LUL
kiwipai: 1
cohhilitionbot: Thanks for subbing @marcusneon82! Check your whispers (or contact a mod) if you'd like your shoutout! Appreciate your support! cohhGV
cohhkittenbot: cohhGShow cohhGShow cohhGShow cohhGShow cohhGShow
realfprintf: Octavia?
slippage_: We in bois
egergames: Do it for science
acutesoul: )
williamwall512: kinky
neo_overdrive: 1
yukikireishi: 1
ramraye: cohhMy cohhMy cohhMy cohhMy
trundleisatroii: 3 Kappa
installation84: 1
lygend: 1
mrlocokrang: Oh Myyyy
sh0k_therapy: 1
s4xo: 2
inquisitor_ganamead: 1
a_phantom1: @DrunkenHighFiveGuy my understanding of it was that you were ad free for a channel only if you weren't a sub.
realfprintf: 1
errorzero: cohhMy cohhOld cohhMy cohhOld
romorudolph: 1
kefka1986: for the love of lamasthu, 1
fimwolf: 1
sirstegosaurus: cohhMy
sylva129: cohhMy
kirestheone: 1
the_alfa123: 1
wsbxero: @CohhCarnage There is an ending when you marry both of them at the same time
cohhkittenbot: ACTION beep
jacktank11: 1
acutesoul: 1
that_geri: 1
madracah: #TeamOctavia
ramraye: 1
tanzofett: 1
ladiie_ivory: top bunk
rockhurst_: 1
savvamon: if you dont press 1 i am leaving the channel !
forsakenelite08: oh my
renanp27: DO IT!!!!
mccoy40: 1
fallowing_deer: 2 is a must for secret ending
fulgr1m: Yiss, yiss yiss! YISSSSSSS
mikolai: 1
remedy020: Was she rubbing her breast?? uhnWut
xicoboss: 1
throwaway4117: no meta
jammer_moore: 1
madarachof: JUST DO IT COHH
millember: 1
itoldyouitstaken: NO
darkwingdook: 1
botamigo: 1 cohhRage
shamshamalam: 1
noodle_dial: you can break up with her later
kaasper: yes
gaffeltruck: for real talk cohh, dont do it
aslird: no cohh
kelticnight: NO
forsakenelite08: 1
joas1988: NO
installation84: DO IT
valentin_pv: danLewd
angstam: bad ending if you romance
egergames: @CohhCarnage Nope
infrit_: 1
darkwingdook: just 1
szymkoz0rd: nope
aithere: nope
potemkin_dk: no
savvamon: NO META COHH
comatt6: NO
duranggo: @CohhCarnage no
jacobgreyson: Don't risk it.
tavernadodraconato: yes
the_friends_we_made: @CohhCarnage You're fine, you just need to break it off immediately
hudamuchin: HOL UP HEEEYYYYY
cohhilitionbot: @hudamuchin Chill with the caps, please. cohhGG [Warnin
flamerz89: Yes
udabestaround: NO
wsbxero: You can break it off right after @CohhCarnage
savvamon: PRESS 1
s4xo: no
ravenerxx: 1
neo_overdrive: You can break it off after @CohhCarnage
midgetitis: NO
dicksosa: NO
inquisitor_ganamead: yee
elkenes: @CohhCarnage nooooooo
freakreature: no
kefka1986: define "that ending"
farmboykent: cohhMy cohhMy cohhMy cohhOMG cohhHmm cohhEvil
grunden: NO YO CANNOT
ninjaofv: 1 we want to romance octavia
nymphiq: 1 FOR SCIENCE cohhMy
oniric2704: @CohhCarnage Yes
nathler89: No
elixir315: to hell with that ending! OpieOP
nuuriell: No
zabbon: You will have to break up after
trundleisatroii: NO NO NO
shamshamalam: 1 lease!!!
orhusby: DrunkenHighFiveGuy, Twitch Prime-subscribers have been getting ads on Twitch for a while now.
infrit_: oh no
darksidetr: bang her than brake up @CohhCarnage
midgetitis: Don't do it
mrlocokrang: Do IT! Emperor Palpatine
mccoy40: JUST DO IT
bigjaybear90: NO meta!
allmostdone: NO
slippage_: FeelsBadMan
sral92x: no
nicotassara: you cant!
savvamon: DONT META
inix: lirikPOG veldPOG lirikPOG veldPOG lirikPOG veldPOG DO IT
tagwithdeath: 2
inesius: Just not finish that event chain
doctor_yiggles: cohhHmm
madracah: DAMN THAT ENDING
ironwaflz: SCIENCE!!!!
gieschput: 2 ftw
lilltue: ANNO 1800?
skewr13: 1 then scum it
magaracnadelu: NO
lil_ciel: cohhS cohhS cohhS cohhS
slippage_: damn
deadran: Do it then savescum @CohhCarnage Worth
thestebe: cohhFeels
infrit_: awww
savvamon: PLAY TRUE DND
iamebby: i thought you already messed up that ending???
morinoak: cohhBlank cohhBlank cohhBlank cohhBlank cohhBlank cohhBlank cohhBlank
osskssa: what ending?
zzxxdeathxxzz: you want a harem cohh ??
eonridr: SCIENCE
katreque: 1
darkwingdook: science it
slippage_: For SCIENCE
dicksosa: Don't do it
comatt6: savescum for it
nevad88: @CohhCarnage but the science!
cardim0: Dew it
mr_sidious: DO it for ther LOL
shadow0dweller: cohhMy cohhMy cohhMy
doctordunks: 1
luketiel: REG BEST CHARACTER IN A GAME EVER! cohhLUL
zippers288: cohhS
lebarto80: Yes, but you will not be able to progress this one
udabestaround: cohhScum it
slinguazzami: SCIENCE
zabbon: @CohhCarnage You will have to break up after, basically be a jerk
installation84: but Octavia best girl
wanderingdisciple: if you want that ending, I don't believe so.
nathler89: Need to NOT have completed another romance
aslird: @CohhCarnage are you sure you asre going to get THAT ending?
hazefest: @CohhCarnage This is interfere with your optiont ot lay with King Irovetti! (just kidding)
egergames: cohhSave
kraytill: CohhCarnag
flamerz89: 1 for science cohh!
forsakenelite08: 1 and scum
ghetznexus: save scum
psybermonk: That ending? cohhBlank
adrifter: scum it?
ringsong: you very well might have lost that ending a while ago, though I'm not sure.
madracah: THAT ending is BS
slippage_: Cohh for science cohhEvil
dlaurenz17: save scum!!!!!
stoiccicero: man can't even spread his seed FeelsBadMan
heavy_mouse: virgin ending cohhFeels
nakedtwitch: Do it and then RELOAD LOL
fartcandl: FOR SCIENCE
usu_: hardsave, no regrets cohhSave Jebaited
neo_overdrive: cohhScum
nymphiq: cohhS SCIENCE
sh0k_therapy: scum it
bigbeefie: only accept if your not interested in anyone else
tagwithdeath: No
idmi: Jebaited
holyknighthun: @CohhCarnage You will have a chance to end this one before it.
morinoak: Already spoiled it
kaasper: @CohhCarnage I did this and got true ending
fulgr1m: ending? cohhHmm
cryptictale: @CohhCarnage No you have to be like completely celebate AT ALL if you want that ENDING
bigjaybear90: No meta gaming cohhOld
jeysiec: Yeah you just can't get all the points.
noodle_dial: you can break up after this scene
oniric2704: @CohhCarnage You can, You just cannot complete the whole romance chain
valentin_pv: F5 danLewd
dobbsjustdobbs: So now I'm gonna have to play through this and just have a harem
ghostmember: scum it
vilkyt: pretty sure its only if you marry
the_friends_we_made: @CohhCarnage you just can't get to the completion of the romance, which is another scene. You should be able to do this, so long as you immediately break it off
nbelly: @CohhCarnage the only "that" ending = "happy" ending?
akazi3: cohhS
shipteez: I mean you gonna say no to her!?!
tagwithdeath: 2
bigbossjuicey: @heavy_mouse lmao
magaracnadelu: NYRISSA MUST BE ONLY LOVE
ladiie_ivory: top bunk or bottom bunk?
cohhilitionbot: @magaracnadelu Chill with the caps, please. cohhGG [Warnin
bregoran: he already lost that ending by doing it with the tiefling girl or not?
fracke: Just do it Kappa
forsakenelite08: 1 and scum it @cohhcarnage
ninjaofv: god damn it we want octavia romance
kelticnight: LUL
mojica4life: lol
buenotimeout: Bad ending cohhD
kefka1986: this is not a moment for science and thinking !!!
immitch: meanwhile octavia just sits there waiting LUL
craften: cohhLUL
aslird: That ending needs specific responses from almost the start of the game?
ringsong: yes!
kefka1986: yesss
werl0g: cohhLUL
trundleisatroii: LUL
rooseweld: @CohhCarnage Are you excited for a new Kotor tv series on disney's service?
ozored: @CohhCarnage save scum for science Kappa
fartcandl: 1 and scum it!!!
thisposino: I don't like the evil sister anyway
shamshamalam: PogChamp
wanderingdisciple: wait, is there more romance chain?
botamigo: cohhMy
ninjaofv: 1 and scum it
zzxxdeathxxzz: apparently what we do is SEX
lethal__22: scum it
slippage_: Bad end FeelsBadMan
usu_: fun DansGame
installation84: YESSSS
sral92x: that ending is already disabled. you can't romance anyone
knightvll: n
s4xo: bad ending here we come
bulbbis: so you already have endings spoiled for you @CohhCarnage cohhFeels
udabestaround: 4
deadran: L Word monkaS
dicksosa: "I love you"
psfanatic: monkaS
egergames: @aslird yes
inix: monkaW love
trundleisatroii: LMAO
kimba274: have fun, i'll join you later ha ha
shipteez: who says it has to be meaningful!
freejam013: 4
myekos: 4
mojica4life: She said the L word!
nicotassara: cohhM
duranggo: 4
botamigo: 1
viskalder: 4
m_aykel: 4
doctor_yiggles: cohhMy
werl0g: cohhWut luv?
madracah: 4
evaristus: 4
littledarksun: cohhBlush
chucklefux: 4
inix: monkaS Love
seditary: did the cat watch?
thisposino: 1
retrosum: 4
hurtbulle: cohhMy Friends with benefits
deadran: L word monkaS
the_friends_we_made: @Sral92x what'd he miss for it?
thestebe: Round 2 cohhDerp
kiwipai: 4
knightvll: l
acutesoul: o yes
j0mpster: @CohhCarnage omg! Thursday April 25th at 10 a.m. PDT AaaaahYizz! Pantheo
remedy020: uhnWut
knightvll: g
mrprotatoh: why is the pet there? hahahaha
firstblood_gg: cohhMy
bigbossjuicey: Apparent what we do is see ya LUL
slippage_: uh oh
knightvll: h
nymphiq: cohhMy
flamerz89: that was the fastest game of chess cohh
deathevan: love
trundleisatroii: BibleThump
nicotassara: what is love, baby dont hurt me
knightvll: jjnggnfgh
thestebe: 50 shades got nothing on this
knightvll: 7
egergames: @aslird mostly with the Guardian of the Bloom
ikubaris: Turned in at the right time cohhMy
knightvll: j
craften: ''Thanks, bye!''
oniric2704: @CohhCarnage You can, You just cannot complete the whole romance chain
knightvll: gb
dobbsjustdobbs: cohhRude
lil_ciel: cohhLUL
slippage_: scum it
saifota: LUL
nevad88: oh no
cartmanbruuuh: he didn't say it back, smart man
aslird: @Egergames has cohh done it all corectly?
ulissesemp: Im with Valerie
werl0g: cohhRude
